Track Name,Artist,Album,Duration (ms)
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243836
Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,239613
PHILLY (with Travis Scott),"Playboi Carti, Travis Scott",MUSIC,185706
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,228266
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,175720
4X4,Travis Scott,4X4,190581
WAKE UP F1LTHY (with Travis Scott),"Playboi Carti, Travis Scott",MUSIC,169333
SICKO MODE,Travis Scott,ASTROWORLD,312820
"Outstanding - Original 12"" Mix",The Gap Band,"The 12"" Collection And More (Funk Essentials)",375400
Outstanding,The Gap Band,The Gap Band IV,198800
You Dropped A Bomb On Me,The Gap Band,The Gap Band IV,312906
Yearning For Your Love,The Gap Band,The Gap Band III,340933
Burn Rubber On Me (Why You Wanna Hurt Me),The Gap Band,Greatest Hits,252306
Early In The Morning,The Gap Band,The Gap Band IV,390000
"I Don't Believe You Want To Get Up And Dance (Oops, Up Side Your Head)",The Gap Band,Greatest Hits,211066
"Early In The Morning - 12"" Version",The Gap Band,"The 12"" Collection And More (Funk Essentials)",456733
Party Train,The Gap Band,The Gap Band V - Jammin' (Deluxe Edition),347253
I Don't Believe You Want To Get Up And Dance (Oops Up Side Your Head),The Gap Band,The Gap Band II,522666
"Gnossiennes: No. 2, Avec étonnement","Erik Satie, Bruce Liu",WAVES (Music by Satie),127133
"Nocturnes, Op. 48: No. 2 in F Sharp Minor. Andantino","Frédéric Chopin, Jan Lisiecki",Chopin: Complete Nocturnes,575373
Fratres,"Arvo Pärt, Gidon Kremer, Keith Jarrett","Arvo Pärt: Tabula Rasa, Fratres, Cantus in memoriam Benjamin Britten",688413
Organum,Max Richter,The Blue Notebooks (15 Years),193480
String Quartet No. 5: V.,"Philip Glass, Kronos Quartet",Kronos Quartet Performs Philip Glass,461200
"24 Préludes, Op. 28: No. 8 in F-Sharp Minor. Molto agitato","Frédéric Chopin, Maurizio Pollini",Chopin: Preludes Op.28,104400
"Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato - Recording Session / Excerpt","Edward Elgar, Sophie Kauer, London Symphony Orchestra, Natalie Murray Beale",TÁR (MUSIC FROM AND INSPIRED BY THE MOTION PICTURE),224973
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",428653
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": II. Allegretto","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",145200
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",465706
"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",581800
"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",351373
"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",294040
"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",640093
"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": II. Andante con moto","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",484840
"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": III. Allegro ma non troppo - Presto","Ludwig van Beethoven, Daniel Barenboim","Beethoven: Piano Sonatas Nos. 8 ""Pathétique"", 14 ""Moonlight"" & 23 ""Appassionata""",325666
"Brahms: Symphony No. 1 in C Minor, Op. 68: I. Un poco sostenuto - Allegro","Johannes Brahms, Sir Simon Rattle, Berliner Philharmoniker",Brahms: The Symphonies,839413
"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14a, Pas de deux. Andante maestoso","Pyotr Ilyich Tchaikovsky, Sir Simon Rattle, Berliner Philharmoniker",Tchaikovsky: The Nutcracker,306533
They Will Shade Us With Their Wings,Max Richter,In A Landscape,513328
Life Study I,Max Richter,In A Landscape,46462
A Colour Field (Holocene),Max Richter,In A Landscape,145642
Life Study II,Max Richter,In A Landscape,84305
And Some Will Fall,Max Richter,In A Landscape,484392
Life Study III,Max Richter,In A Landscape,64661
The Poetry of Earth (Geophony),Max Richter,In A Landscape,238167
Life Study IV,Max Richter,In A Landscape,31550
Only Silent Words,Max Richter,In A Landscape,136329
Life Study V,Max Richter,In A Landscape,30647
Late and Soon,Max Richter,In A Landscape,430613
Life Study VI,Max Richter,In A Landscape,41099
Andante,Max Richter,In A Landscape,153170
Life Study VII,Max Richter,In A Landscape,61632
A Time Mirror (Biophony),Max Richter,In A Landscape,238927
Life Study VIII,Max Richter,In A Landscape,42818
Love Song (After JE),Max Richter,In A Landscape,339198
Life Study IX,Max Richter,In A Landscape,52475
"Movement, Before All Flowers",Max Richter,In A Landscape,257532
And Some Will Fall - Edit,Max Richter,In A Landscape,251642
The Poetry of Earth (Geophony) - Edit,Max Richter,In A Landscape,219494
Late and Soon - Edit,Max Richter,In A Landscape,199701
Love Song (After JE) - Edit,Max Richter,In A Landscape,281385
"Movement, Before All Flowers - Edit",Max Richter,In A Landscape,219477
